Player.Name....Team,Player.Total.Votes,Player.Rank,Fan.Total.Votes,Fan.Rank,Media.Total.Votes,Media.Rank,Weighted.Score,conference,court
"Curry, Stephen -- GSW",161,1,"3,861,038",1,97,2,1.25,western,guard
"Harden, James -- HOU",153,2,"2,905,488",3,99,1,2.25,western,guard
"Rose, Derrick -- MIN",36,4,"3,376,277",2,0,6,3.5,western,guard
"Westbrook, Russell -- OKC",54,3,"2,512,374",4,2,3,3.5,western,guard
"Lillard, Damian -- POR",31,5,"1,043,785",6,1,4,5.25,western,guard
"Thompson, Klay -- GSW",13,11,"1,578,140",5,1,4,6.25,western,guard
"DeRozan, DeMar -- SAS",20,8,"1,039,658",7,0,6,7,western,guard
"Booker, Devin -- PHX",26,6,"475,535",10,0,6,8,western,guard
"Ball, Lonzo -- LAL",10,14,"961,488",8,0,6,9,western,guard
"Paul, Chris -- HOU",10,14,"520,453",9,0,6,9.5,western,guard
"Murray, Jamal -- DEN",21,7,"260,655",13,0,6,9.75,western,guard
"Mitchell, Donovan -- UTA",10,14,"417,390",11,0,6,10.5,western,guard
"Fox, De'Aaron -- SAC",11,13,"358,582",12,0,6,10.75,western,guard
"Bogdanovic, Bogdan -- SAC",10,14,"243,440",14,0,6,12,western,guard
"McCollum, CJ -- POR",12,12,"205,182",19,0,6,14,western,guard
"Schroder, Dennis -- OKC",6,23,"239,671",15,0,6,14.75,western,guard
"Conley, Mike -- MEM",19,9,"141,683",23,0,6,15.25,western,guard
"Holiday, Jrue -- NOP",15,10,"93,873",26,0,6,17,western,guard
"Hield, Buddy -- SAC",7,21,"141,994",22,0,6,17.75,western,guard
"Williams, Lou -- LAC",10,14,"83,791",29,0,6,19.5,western,guard
"Rondo, Rajon -- LAL",1,39,"220,466",17,0,6,19.75,western,guard
"Hart, Josh -- LAL",1,39,"209,425",18,0,6,20.25,western,guard
"Belinelli, Marco -- SAS",3,30,"104,675",24,0,6,21,western,guard
"Smith Jr., Dennis -- DAL",5,24,"90,268",27,0,6,21,western,guard
"Gordon, Eric -- HOU",1,39,"165,649",20,0,6,21.25,western,guard
"Caldwell-Pope, Kentavious -- LAL",4,26,"76,553",31,0,6,23.5,western,guard
"Iguodala, Andre -- GSW",0,60,"234,866",16,0,6,24.5,western,guard
"Rubio, Ricky -- UTA",2,32,"78,842",30,0,6,24.5,western,guard
"Barea, J.J. -- DAL",7,21,"65,274",37,0,6,25.25,western,guard
"Ferguson, Terrance -- OKC",3,30,"72,501",33,0,6,25.5,western,guard
"Cook, Quinn -- GSW",4,26,"69,321",35,0,6,25.5,western,guard
"Stephenson, Lance -- LAL",0,60,"150,510",21,0,6,27,western,guard
"Abrines, Alex -- OKC",1,39,"73,043",32,0,6,27.25,western,guard
"Harris, Gary -- DEN",1,39,"70,131",34,0,6,28.25,western,guard
"Green, Gerald -- HOU",0,60,"103,557",25,0,6,29,western,guard
"Curry, Seth -- POR",4,26,"49,447",42,0,6,29,western,guard
"Livingston, Shaun -- GSW",0,60,"88,964",28,0,6,30.5,western,guard
"White, Derrick -- SAS",4,26,"43,473",45,0,6,30.5,western,guard
"Diallo, Hamidou -- OKC",1,39,"56,551",39,0,6,30.75,western,guard
"Forbes, Bryn -- SAS",1,39,"54,302",40,0,6,31.25,western,guard
"Mills, Patty -- SAS",1,39,"50,432",41,0,6,31.75,western,guard
"Matthews, Wesley -- DAL",5,24,"26,731",49,0,6,32,western,guard
"Teague, Jeff -- MIN",10,14,"18,719",58,0,6,34,western,guard
"Teodosic, Milos -- LAC",0,60,"65,564",36,0,6,34.5,western,guard
"Beasley, Malik -- DEN",2,32,"24,344",50,0,6,34.5,western,guard
"Rivers, Austin -- HOU",0,60,"62,225",38,0,6,35.5,western,guard
"Korver, Kyle -- UTA",0,60,"48,710",43,0,6,38,western,guard
"Exum, Dante -- UTA",1,39,"20,517",54,0,6,38.25,western,guard
"Thomas, Isaiah -- DEN",0,60,"44,367",44,0,6,38.5,western,guard
"Allen, Grayson -- UTA",2,32,"18,350",59,0,6,39,western,guard
"Gilgeous-Alexander, Shai -- LAC",1,39,"19,842",56,0,6,39.25,western,guard
"Roberson, Andre -- OKC",0,60,"40,928",46,0,6,39.5,western,guard
"Okogie, Josh -- MIN",0,60,"28,373",47,0,6,40,western,guard
"Felton, Raymond -- OKC",0,60,"27,109",48,0,6,40.5,western,guard
"Beverley, Patrick -- LAC",9,20,"12,873",69,0,6,41,western,guard
"Burton, Deonte -- OKC",2,32,"14,703",64,0,6,41.5,western,guard
"Crawford, Jamal -- PHX",0,60,"22,935",51,0,6,42,western,guard
"Barton, Will -- DEN",2,32,"14,668",65,0,6,42,western,guard
"Jones, Tyus -- MIN",0,60,"22,516",52,0,6,42.5,western,guard
"Evans, Jacob -- GSW",1,39,"15,573",63,0,6,42.75,western,guard
"Morris, Monte -- DEN",0,60,"21,027",53,0,6,43,western,guard
"Mykhailiuk, Svi -- LAL",0,60,"20,170",55,0,6,44,western,guard
"Harris, Devin -- DAL",0,60,"19,132",57,0,6,45,western,guard
"Luwawu-Cabarrot, Timothe -- OKC",2,32,"9,522",72,0,6,45.5,western,guard
"Knight, Brandon -- HOU",0,60,"18,110",60,0,6,46.5,western,guard
"Brunson, Jalen -- DAL",0,60,"17,034",61,0,6,47,western,guard
"Bradley, Avery -- LAC",2,32,"8,460",75,0,6,47,western,guard
"Lee, Damion -- GSW",0,60,"15,964",62,0,6,47.5,western,guard
"Murray, Dejounte -- SAS",0,60,"14,215",66,0,6,49.5,western,guard
"Bonga, Isaac -- LAL",0,60,"13,678",67,0,6,50,western,guard
"Stauskas, Nik -- POR",1,39,"7,574",78,0,6,50.25,western,guard
"Walker IV, Lonnie -- SAS",0,60,"12,932",68,0,6,50.5,western,guard
"Bayless, Jerryd -- MIN",1,39,"6,811",80,0,6,51.25,western,guard
"Shumpert, Iman -- SAC",0,60,"11,093",70,0,6,51.5,western,guard
"Caruso, Alex -- LAL",0,60,"9,563",71,0,6,52,western,guard
"Baldwin IV, Wade -- POR",1,39,"6,351",82,0,6,52.25,western,guard
"Carter, Jevon -- MEM",1,39,"6,154",83,0,6,52.75,western,guard
"Turner, Evan -- POR",0,60,"9,218",73,0,6,53,western,guard
"Broekhoff, Ryan -- DAL",0,60,"8,809",74,0,6,53.5,western,guard
"Watanabe, Yuta -- MEM",0,60,"8,456",76,0,6,54.5,western,guard
"Carter-Williams, Michael",0,60,"8,045",77,0,6,55,western,guard
"Neto, Raul -- UTA",0,60,"7,088",79,0,6,56,western,guard
"Mason, Frank -- SAC",1,39,"3,960",90,0,6,56.25,western,guard
"Evans, Jawun -- PHX",1,39,"3,948",91,0,6,56.75,western,guard
"Ferrell, Yogi -- SAC",0,60,"6,423",81,0,6,57,western,guard
"Moore, E'Twaun -- NOP",1,39,"3,551",93,0,6,57.75,western,guard
"Okobo, Elie -- PHX",0,60,"5,127",84,0,6,58.5,western,guard
"Macon, Daryl -- DAL",0,60,"4,851",85,0,6,59,western,guard
"Melton, De'Anthony -- PHX",0,60,"4,791",86,0,6,59.5,western,guard
"Payton, Elfrid -- NOP",0,60,"4,757",87,0,6,60,western,guard
"Temple, Garrett -- MEM",1,39,"3,043",98,0,6,60.25,western,guard
"Brooks, Dillon -- MEM",0,60,"4,521",88,0,6,60.5,western,guard
"Goodwin, Brandon -- DEN",0,60,"4,344",89,0,6,61,western,guard
"Terrell, Jared -- MIN",1,39,"2,262",101,0,6,61.75,western,guard
"Daniels, Troy -- PHX",0,60,"3,883",92,0,6,62.5,western,guard
"McLemore, Ben -- SAC",0,60,"3,396",94,0,6,63.5,western,guard
"Mitrou-Long, Naz -- UTA",0,60,"3,234",95,0,6,64,western,guard
"Jackson, Frank -- NOP",0,60,"3,155",96,0,6,64.5,western,guard
"Simons, Anfernee -- POR",0,60,"3,083",97,0,6,65,western,guard
"Williams, C.J. -- MIN",0,60,"3,039",99,0,6,66,western,guard
"Brooks, MarShon",1,39,"1,296",110,0,6,66.25,western,guard
"Wallace, Tyrone -- LAC",0,60,"2,704",100,0,6,66.5,western,guard
"Trent Jr., Gary -- POR",0,60,"2,201",102,0,6,67.5,western,guard
"Frazier, Tim -- NOP",0,60,"2,119",103,0,6,68,western,guard
"Rabb, Ivan -- MEM",0,84,"1,628",135,0,8,90.5,western,guard
"Hill, Solomon -- NOP",0,84,"1,607",136,0,8,91,western,guard
"Stokes, Jarnell",0,84,"1,049",137,0,8,91.5,western,guard
"Moreland, Eric",0,84,538,138,0,8,92,western,guard
